 30.62,1.22,-41.72,0.01,-0.00,0.00,
 2.11,8.82,-2.83,0.01,-0.01,0.00,
 2.04,9.40,-3.12,0.02,0.00,0.01,
 3.68,8.37,-2.77,0.04,-0.01,0.02,
 2.75,7.67,-2.94,0.05,-0.04,0.08,
 1.73,7.60,-2.92,0.04,-0.02,0.10,
 3.22,9.19,-2.47,0.06,-0.01,0.15,
 3.68,9.06,-2.73,0.08,-0.02,0.18,
 3.62,9.53,-2.18,0.12,-0.05,0.27,
 3.28,10.71,-2.30,0.17,-0.07,0.40,
 4.15,10.98,-2.59,0.25,-0.08,0.47,
 3.60,8.31,-3.12,0.29,-0.10,0.48,
 2.82,6.11,-3.87,0.29,-0.08,0.49,
 3.64,7.08,-4.09,0.25,-0.05,0.44,
 4.05,8.60,-3.81,0.24,-0.04,0.43,
 3.26,7.39,-3.65,0.32,-0.05,0.50,
 1.90,4.23,-3.54,0.34,-0.05,0.54,
 1.62,2.12,-4.35,0.35,-0.02,0.58,
 3.22,-0.09,-4.40,0.34,0.02,0.60,
 3.35,-2.25,-5.25,0.31,0.04,0.58,
 4.34,-2.44,-5.36,0.24,0.09,0.50,
 5.86,-1.56,-5.28,0.21,0.11,0.46,
 7.17,-2.22,-5.93,0.22,0.12,0.41,
 9.09,-9.15,-6.34,0.18,0.15,0.33,
 5.61,-3.95,-6.27,0.05,0.12,0.29,
 6.28,-0.05,-4.58,0.00,0.18,0.29,
 5.54,-2.12,-4.19,0.10,0.22,0.32,
 6.32,-5.89,-3.82,0.07,0.30,0.20,
 14.03,-4.61,-3.88,0.01,0.25,0.21,
 10.00,-5.25,-3.21,-0.02,0.15,0.14,
 7.62,-3.58,-2.64,-0.01,0.18,0.08,
 10.37,-4.30,-2.43,-0.03,0.16,0.09,
 8.11,-4.47,-2.07,-0.07,0.13,0.18,
 6.42,-4.46,-1.84,-0.08,0.16,0.13,
 7.57,-4.10,-1.52,-0.08,0.20,0.06,
 9.43,-7.42,-1.26,-0.08,0.20,0.01,
 7.98,-1.26,-1.92,-0.12,0.13,-0.02,
 8.33,-3.78,-0.47,-0.08,0.16,-0.21,
 7.72,-1.98,-0.34,-0.14,0.16,-0.22,
 7.40,-0.31,-0.13,-0.11,0.22,-0.20,
 11.26,-0.46,0.02,-0.07,0.24,-0.18,
 13.27,-0.28,-0.15,-0.03,0.18,-0.15,
 13.76,-1.81,-0.22,-0.03,0.10,-0.14,
 11.84,-0.02,-0.19,-0.10,0.07,-0.17,
 12.77,0.11,-0.30,-0.10,0.06,-0.20,
 13.02,0.18,-0.56,-0.08,0.04,-0.21,
 11.79,0.47,-0.51,-0.05,0.02,-0.19,
 11.51,0.76,-0.57,-0.03,0.02,-0.16,
 10.79,1.00,-0.72,-0.02,0.01,-0.13,
 11.15,0.67,-0.84,-0.02,0.02,-0.09,
 11.48,0.10,-0.54,-0.02,0.00,-0.10,
 11.93,-0.07,-0.78,-0.03,-0.03,-0.10,
 11.07,0.29,-0.66,-0.05,-0.06,-0.05,
 9.88,0.15,-0.21,-0.07,-0.04,-0.09,
