 -6.52,-1.75,9.27,-38.01,171.50,-563.64,-0.22,0.57,-0.33
 -7.08,-1.28,7.84,-30.52,12.67,-19.67,-0.23,0.56,-0.32
 -7.33,-1.13,7.70,-36.33,22.40,-31.36,-0.23,0.54,-0.34
 -7.80,-0.50,7.42,-44.10,24.92,-44.03,-0.23,0.54,-0.33
 -6.53,0.04,7.48,-51.31,30.31,-51.10,-0.23,0.53,-0.34
 -6.99,0.06,7.59,-59.01,46.76,-54.46,-0.22,0.50,-0.36
 -4.75,-0.75,6.53,-42.28,73.22,-34.09,-0.22,0.49,-0.36
 -4.64,-0.55,6.98,-12.81,131.18,-39.97,-0.21,0.49,-0.36
 -5.40,0.05,7.51,15.89,169.12,-47.60,-0.19,0.48,-0.39
 -3.07,0.23,8.19,39.06,188.16,10.71,-0.17,0.48,-0.38
 -6.05,0.62,9.24,54.53,195.37,58.87,-0.13,0.49,-0.40
 -12.69,-7.83,7.94,77.42,137.76,22.05,-0.09,0.50,-0.39
 -6.49,0.09,8.74,86.24,107.45,-42.77,-0.06,0.51,-0.39
 -3.62,1.56,9.25,75.32,80.78,-79.59,-0.04,0.52,-0.39
 -0.60,2.07,8.94,48.37,80.64,-43.40,-0.03,0.54,-0.36
 -2.23,-0.37,9.50,33.39,108.50,-2.03,-0.01,0.56,-0.37
 -4.98,-2.34,9.59,36.47,99.12,-29.12,0.01,0.55,-0.36
 0.29,-2.18,8.94,53.76,106.54,0.21,0.04,0.56,-0.34
 0.75,-1.05,9.15,45.99,132.37,-6.44,0.06,0.57,-0.35
 -1.40,-1.04,8.62,29.26,132.37,-9.24,0.07,0.57,-0.34
 -1.96,-2.53,9.31,15.19,105.63,-24.50,0.09,0.58,-0.33
 -1.26,-2.08,9.45,16.31,75.95,-9.73,0.11,0.59,-0.32
 1.81,-2.13,9.90,22.54,71.12,-24.15,0.11,0.59,-0.31
 -1.84,-2.11,10.06,19.11,55.44,-12.46,0.13,0.59,-0.31
 -0.13,-2.44,10.14,11.27,27.79,-6.58,0.14,0.60,-0.30
 0.22,-2.53,10.24,6.51,-3.08,-5.74,0.14,0.60,-0.29
 1.72,-2.40,10.44,3.22,-6.58,-3.36,0.14,0.59,-0.30
 1.16,-2.43,9.92,-2.59,-1.26,-13.51,0.14,0.59,-0.30
 1.03,-2.00,9.71,-9.31,-10.71,-0.56,0.13,0.59,-0.29
 1.07,-2.11,9.51,-13.09,-19.11,-12.81,0.13,0.60,-0.31
 0.85,-1.32,9.66,-24.15,-19.60,-39.62,0.13,0.59,-0.30
 -1.07,-1.88,9.41,-31.57,-24.57,-81.06,0.11,0.59,-0.32
 0.77,-1.85,9.52,-35.63,-30.87,-112.07,0.11,0.59,-0.33
 0.95,-1.79,9.64,-38.43,-30.59,-59.99,0.09,0.60,-0.33
