 10.98,2.41,-1.23,0.02,-0.01,0.00,0.00,0.00,0.00
 3.37,8.53,-1.69,0.02,0.01,-0.00,44.70,48.60,102.90
 3.47,8.36,-1.79,0.03,0.04,-0.00,44.40,49.00,101.70
 3.56,8.23,-1.79,0.03,0.02,0.01,43.60,49.30,101.40
 3.75,8.09,-1.67,0.00,0.02,0.02,44.10,49.50,102.20
 3.74,8.57,-1.67,-0.00,0.01,0.03,43.40,48.30,102.60
 3.88,8.08,-1.72,0.04,-0.00,0.06,43.70,49.40,101.40
 3.72,7.76,-1.68,0.04,-0.03,0.06,43.10,48.70,101.70
 3.42,7.95,-1.69,0.00,-0.05,0.05,42.30,48.80,100.60
 3.39,8.02,-1.54,-0.01,-0.02,0.06,43.50,49.00,100.80
 3.52,8.25,-1.55,0.02,0.03,0.07,43.70,48.60,101.40
 3.92,7.96,-1.48,0.02,-0.01,0.11,43.50,49.60,101.20
 4.90,8.74,-1.81,-0.05,-0.16,0.23,43.50,49.60,102.50
 6.61,8.66,-1.90,0.00,-0.41,0.35,43.00,48.00,101.50
 7.93,8.08,-1.88,0.02,-0.95,0.49,42.30,49.40,101.60
 5.34,6.99,-1.45,-0.06,-1.19,0.47,42.70,49.00,101.20
 1.54,6.73,-1.79,-0.31,-1.43,0.50,43.10,48.20,102.20
 -0.48,8.82,-2.18,-0.43,-1.09,0.35,44.10,48.90,102.80
 0.27,7.94,-1.78,-0.02,-0.36,-0.38,44.40,48.60,102.60
 1.98,6.94,-1.45,0.12,0.15,-0.85,44.60,48.30,101.90
 3.65,7.55,-1.09,-0.16,0.35,-1.58,45.00,48.30,103.00
 3.95,9.42,-1.03,-0.23,0.16,-1.56,46.60,47.90,101.80
 2.28,10.19,-1.03,-0.10,-0.18,-0.80,48.10,47.30,101.70
 1.60,10.49,-2.31,0.13,-0.21,-0.29,48.10,47.60,102.20
 -0.24,9.31,-2.76,0.33,0.49,-0.96,48.60,47.10,102.70
 3.30,6.91,-2.46,0.49,0.83,-1.34,49.30,47.60,102.30
 6.37,6.33,-2.56,0.21,0.69,-1.20,49.20,47.20,102.30
 5.64,8.51,-1.85,0.00,0.21,-1.01,50.30,46.90,101.90
 3.05,12.81,-0.56,0.15,-0.10,-0.66,50.20,46.20,101.90
 0.76,11.06,-1.15,0.83,0.05,0.33,50.80,47.50,102.50
