 -11.26,-4.16,-9.33,-43.26,84.28,-771.75,-0.39,0.65,-0.16
 -9.14,-5.13,0.57,2.31,8.33,-7.56,-0.39,0.64,-0.17
 -9.71,-4.82,0.34,-1.47,-0.42,-7.35,-0.38,0.65,-0.18
 -8.31,-5.57,0.32,0.77,-4.41,-8.19,-0.38,0.65,-0.17
 -8.05,-5.21,0.25,3.85,1.96,-7.84,-0.38,0.66,-0.18
 -8.80,-5.51,0.37,5.60,4.83,-5.53,-0.38,0.66,-0.17
 -8.99,-5.15,0.27,9.52,-1.05,-7.56,-0.39,0.64,-0.17
 -8.15,-4.63,0.60,7.00,-1.12,-10.50,-0.39,0.66,-0.18
 -8.41,-5.94,0.04,9.52,-0.21,-12.53,-0.38,0.65,-0.17
 -7.63,-5.30,0.33,18.69,-1.89,-4.13,-0.38,0.65,-0.18
 -9.01,-3.21,0.78,6.51,3.57,-34.30,-0.38,0.66,-0.17
 -9.68,-4.87,0.67,-5.18,-1.61,-47.67,-0.39,0.66,-0.16
 -8.91,-6.17,0.86,3.22,-12.95,-34.65,-0.40,0.65,-0.17
 -7.38,-5.25,0.38,12.67,-9.80,-21.77,-0.40,0.66,-0.17
 -7.46,-4.12,0.56,14.98,1.82,-21.42,-0.40,0.65,-0.16
 -8.74,-3.61,1.07,5.67,12.81,-31.99,-0.41,0.65,-0.16
 -11.39,-3.40,0.88,-3.50,5.81,-48.93,-0.41,0.64,-0.16
 -12.82,-4.23,1.03,-16.73,-26.74,-80.36,-0.41,0.64,-0.17
 -11.88,-4.47,0.45,-21.00,-63.63,-110.60,-0.42,0.61,-0.15
 -9.66,-5.82,-0.19,-13.44,-85.12,-112.84,-0.45,0.60,-0.14
 -8.78,-4.09,-0.37,-7.91,-83.86,-145.46,-0.46,0.58,-0.12
 -9.55,-3.75,-1.34,-7.35,-85.40,-161.63,-0.47,0.55,-0.10
 -9.92,-1.85,-2.02,-6.02,-94.43,-189.35,-0.49,0.53,-0.09
 -8.98,0.05,-2.71,-11.13,-97.65,-196.56,-0.50,0.48,-0.09
 -8.47,1.36,-2.06,-28.56,-94.29,-208.88,-0.51,0.45,-0.07
 -11.03,1.59,-2.69,-42.28,-92.05,-243.39,-0.52,0.40,-0.03
 -11.06,-0.02,-3.61,-56.14,-119.28,-292.32,-0.52,0.36,-0.02
 -9.39,1.81,-3.62,-64.61,-144.41,-337.05,-0.52,0.29,0.01
 -6.65,2.61,-3.81,-72.80,-145.53,-350.91,-0.50,0.22,0.05
 -5.46,3.04,-5.05,-74.13,-139.86,-356.30,-0.44,0.09,0.12
 -3.86,3.36,-5.58,-77.98,-130.27,-361.69,-0.38,0.05,0.14
 -2.28,4.31,-6.04,-79.31,-127.12,-406.84,-0.31,-0.02,0.19
 0.59,4.36,-5.85,-64.96,-112.07,-379.12,-0.23,-0.06,0.21
 1.28,6.22,-6.30,-50.47,-86.03,-287.14,-0.16,-0.08,0.23
 2.96,5.32,-7.35,-60.90,-75.88,-272.51,-0.11,-0.09,0.24
 3.91,1.78,-6.70,-21.70,-50.82,-170.17,-0.05,-0.09,0.24
 2.86,5.25,-7.78,17.85,-33.25,-85.61,-0.02,-0.10,0.26
 3.07,7.15,-7.36,19.81,-28.28,-90.93,-0.01,-0.09,0.25
 2.92,7.95,-6.97,7.70,-24.08,-123.55,0.02,-0.10,0.25
 3.42,6.74,-7.14,0.91,-20.37,-82.95,0.04,-0.10,0.25
 2.90,5.96,-7.77,10.92,-24.85,15.26,0.06,-0.10,0.25
 3.52,4.11,-7.20,34.79,-21.98,106.33,0.06,-0.10,0.24
