     t           Hz
  0.37   0.37000000
  0.37   0.37000000
  0.37   0.37000000
  0.39   0.39000000
  0.39   0.39000000
  0.39   0.39000000
  0.39   0.39000000
  0.39   0.39000000
  0.41   0.41000000
  0.41   0.41000000
  0.41   0.41000000
  0.41   0.41000000
  0.41   0.41000000
  0.41   0.41000000
  0.41   0.41000000
  0.41   0.41000000
  0.41   0.41000000
  0.43   0.43000000
  0.43   0.43000000
  0.43   0.43000000
  0.43   0.45000000
  0.47   0.49000000
  0.51   0.53000000
  0.55   0.57000000
  0.59   0.61000000
  0.63   0.63000000
  0.65   0.65000000
  0.65   0.67000000
  0.67   0.67000000
  0.67   0.67000000
  0.67   0.67000000
  0.67   0.67000000
  0.67   0.67000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.69   0.69000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.71000000
  0.71   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.73000000
  0.73   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.75000000
  0.75   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.77000000
  0.77   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.79000000
  0.79   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.81   0.81000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.83000000
  0.83   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.85000000
  0.85   0.87000000
  0.87   0.87000000
  0.87   0.87000000
